FO_name;Subj_Name;Total_Value;1;2;3;4;5
ЦФО;Белгородская область;36;5;17;9;0;5
ЦФО;Брянская область;51;21;19;8;0;3
ЦФО;Владимирская область;42;4;26;8;1;3
ЦФО;Воронежская область;67;11;30;23;0;3
ЦФО;Ивановская область;37;3;20;11;1;2
ЦФО;Калужская область;49;22;13;10;3;1
ЦФО;Костромская область;35;13;17;2;0;3
ЦФО;Курская область;54;19;19;11;1;4
ЦФО;Липецкая область;32;10;13;9;0;0
ЦФО;Москва;367;93;39;120;60;55
ЦФО;Московская область;227;104;62;38;7;16
ЦФО;Орловская область;31;10;5;10;0;6
ЦФО;Рязанская область;41;10;16;13;0;2
ЦФО;Смоленская область;41;2;24;14;0;1
ЦФО;Тамбовская область;46;18;19;6;0;3
ЦФО;Тверская область;50;11;29;8;1;1
ЦФО;Тульская область;29;3;13;11;0;2
ЦФО;Ярославская область;64;21;27;13;0;3
СЗФО;Архангельская область;60;16;31;10;0;3
СЗФО;Вологодская область;82;30;33;7;1;11
СЗФО;Калининградская область;92;42;23;9;0;18
СЗФО;Ленинградская область;24;2;13;7;0;2
СЗФО;Мурманская область;31;8;9;11;0;3
СЗФО;Ненецкий автономный округ;5;0;3;0;0;2
СЗФО;Новгородская область;32;10;12;2;0;8
СЗФО;Псковская область;22;6;8;8;0;0
СЗФО;Республика Карелия;33;15;12;6;0;0
СЗФО;Республика Коми;70;18;27;7;0;18
СЗФО;Санкт-Петербург;181;53;39;65;15;9
ЮФО;Астраханская область;47;23;9;11;0;4
ЮФО;Волгоградская область;122;33;60;21;1;7
ЮФО;Краснодарский край;265;132;73;34;2;24
ЮФО;Республика Адыгея;17;11;3;2;0;1
ЮФО;Республика Калмыкия;10;3;6;1;0;0
ЮФО;Республика Крым;63;28;13;12;0;10
ЮФО;Ростовская область;179;62;69;31;3;14
ЮФО;Севастополь;7;0;3;3;0;1
СКФО;Кабардино-Балкарская Республика;39;27;5;4;0;3
СКФО;Карачаево-Черкесская Республика;6;1;2;2;0;1
СКФО;Республика Дагестан;24;3;11;8;2;0
СКФО;Республика Ингушетия;5;1;3;1;0;0
СКФО;Республика Северная Осетия — Алания;17;2;6;8;0;1
СКФО;Ставропольский край;99;21;44;26;2;6
СКФО;Чеченская Республика;7;1;3;3;0;0
ПФО;Кировская область;54;20;23;8;1;2
ПФО;Нижегородская область;95;25;35;31;1;3
ПФО;Оренбургская область;103;41;33;13;2;14
ПФО;Пензенская область;61;30;18;9;1;3
ПФО;Пермский край;172;80;54;21;1;16
ПФО;Республика Башкортостан;74;12;32;26;2;2
ПФО;Республика Марий Эл;54;21;11;3;1;18
ПФО;Республика Мордовия;29;9;14;5;0;1
ПФО;Республика Татарстан;163;52;65;37;2;7
ПФО;Самарская область;258;149;47;23;0;39
ПФО;Саратовская область;66;18;25;15;2;6
ПФО;Удмуртская Республика;49;15;20;13;0;1
ПФО;Ульяновская область;68;27;28;8;0;5
ПФО;Чувашская Республика — Чувашия;56;16;22;12;0;6
УФО;Курганская область;64;23;16;6;1;18
УФО;Свердловская область;152;17;91;34;4;6
УФО;Тюменская область;109;55;17;8;2;27
УФО;Ханты-Мансийский автономный округ — Югра;50;15;22;10;0;3
УФО;Челябинская область;206;100;48;22;0;36
УФО;Ямало-Ненецкий автономный округ;40;22;8;2;0;8
СФО;Алтайский край;67;7;43;14;0;3
СФО;Иркутская область;93;9;59;22;3;0
СФО;Кемеровская область;74;14;42;15;1;2
СФО;Красноярский край;83;20;45;16;1;1
СФО;Новосибирская область;176;76;51;18;9;22
СФО;Омская область;104;45;31;19;1;8
СФО;Республика Алтай;12;3;6;2;0;1
СФО;Республика Тыва;11;1;8;2;0;0
СФО;Республика Хакасия;40;18;14;2;0;6
СФО;Томская область;43;4;27;10;1;1
ДВФО;Амурская область;18;2;8;7;0;1
ДВФО;Еврейская автономная область;9;3;5;1;0;0
ДВФО;Забайкальский край;30;3;20;6;0;1
ДВФО;Камчатский край;24;8;9;4;0;3
ДВФО;Магаданская область;20;5;8;2;0;5
ДВФО;Приморский край;72;11;41;17;1;2
ДВФО;Республика Бурятия;23;2;14;7;0;0
ДВФО;Республика Саха (Якутия);47;9;24;9;0;5
ДВФО;Сахалинская область;39;19;13;3;0;4
ДВФО;Хабаровский край;84;45;17;15;0;7
ДВФО;Чукотский автономный округ;5;2;2;1;0;0
