FO_name;Subj_Name;1;2;3;4;5;6;7;8;9;10;11;12
ЦФО;Белгородская область;36;0;13;9;4;7;2;0;2;6;5;4
ЦФО;Брянская область;48;6;33;23;24;7;9;2;10;15;14;10
ЦФО;Владимирская область;42;6;34;24;26;8;6;3;2;21;21;12
ЦФО;Воронежская область;65;12;46;29;29;16;9;1;5;17;30;12
ЦФО;Ивановская область;35;6;31;20;21;8;4;2;1;5;22;6
ЦФО;Калужская область;48;5;39;24;25;10;2;1;7;8;18;8
ЦФО;Костромская область;33;2;22;12;16;3;7;3;1;11;6;11
ЦФО;Курская область;54;5;33;15;18;11;4;1;1;12;16;3
ЦФО;Липецкая область;32;1;25;18;15;8;3;2;3;6;11;7
ЦФО;Москва;354;50;252;143;76;163;46;25;24;67;112;55
ЦФО;Московская область;220;20;145;99;89;31;21;15;24;43;56;38
ЦФО;Орловская область;31;4;20;15;9;9;4;2;1;4;10;5
ЦФО;Рязанская область;40;4;29;24;20;8;13;4;3;9;13;14
ЦФО;Смоленская область;41;4;34;20;23;10;14;3;1;14;20;10
ЦФО;Тамбовская область;45;6;31;17;25;4;6;11;9;3;15;11
ЦФО;Тверская область;50;8;36;28;30;6;3;12;1;9;23;13
ЦФО;Тульская область;29;6;23;16;14;8;10;1;1;5;8;7
ЦФО;Ярославская область;61;3;46;31;37;9;3;0;7;14;14;7
СЗФО;Архангельская область;57;12;33;18;25;3;4;4;9;8;15;5
СЗФО;Вологодская область;79;5;48;33;39;5;3;4;3;12;21;10
СЗФО;Калининградская область;89;5;50;29;31;5;5;6;9;18;11;11
СЗФО;Ленинградская область;24;4;17;16;15;3;0;3;5;7;7;7
СЗФО;Мурманская область;31;0;18;13;11;4;2;2;7;6;7;2
СЗФО;Ненецкий автономный округ;5;1;4;2;4;0;0;0;0;0;2;0
СЗФО;Новгородская область;32;4;19;11;12;3;5;0;9;5;12;8
СЗФО;Псковская область;22;3;17;11;8;5;4;2;1;5;7;2
СЗФО;Республика Карелия;33;4;26;25;19;5;2;2;8;7;12;8
СЗФО;Республика Коми;69;10;42;23;30;5;3;1;18;11;15;11
СЗФО;Санкт-Петербург;178;30;115;72;56;53;19;4;9;26;50;21
ЮФО;Астраханская область;47;4;32;17;24;10;0;0;3;12;14;6
ЮФО;Волгоградская область;121;21;84;53;62;13;17;2;10;35;48;26
ЮФО;Краснодарский край;257;13;161;89;116;26;7;18;12;31;56;30
ЮФО;Республика Адыгея;16;2;11;7;6;2;1;0;2;1;6;2
ЮФО;Республика Калмыкия;10;1;8;4;6;2;2;0;0;3;6;3
ЮФО;Республика Крым;61;5;36;21;23;8;2;0;4;10;17;7
ЮФО;Ростовская область;172;32;127;88;90;30;50;8;15;35;63;44
ЮФО;Севастополь;7;1;6;4;3;0;1;0;1;4;3;1
СКФО;Кабардино-Балкарская Республика;38;5;15;7;7;4;2;2;2;4;14;1
СКФО;Карачаево-Черкесская Республика;6;1;4;3;1;3;0;0;0;1;3;0
СКФО;Республика Дагестан;23;3;20;14;10;11;6;3;2;7;12;8
СКФО;Республика Ингушетия;5;2;5;5;4;2;3;1;2;2;2;2
СКФО;Республика Северная Осетия — Алания;16;4;14;9;8;5;4;2;2;4;11;4
СКФО;Ставропольский край;99;9;79;49;53;18;20;7;4;31;45;26
СКФО;Чеченская Республика;7;2;5;3;4;2;2;1;1;2;5;2
ПФО;Кировская область;53;6;40;31;29;5;2;3;8;11;16;8
ПФО;Нижегородская область;92;14;68;47;37;19;12;6;10;20;35;20
ПФО;Оренбургская область;100;11;56;31;43;6;5;2;20;16;35;16
ПФО;Пензенская область;61;6;45;26;29;7;4;2;12;19;18;8
