"FO_name";"Subj_Name";"Col_num";"1";"2";"3";"4";"5";"6"
"ДВФО";"Амурская область";3;575,000;329,000;246,000;138,000;96,000;42,000
"ДВФО";"Еврейская автономная область";3;103,000;45,000;58,000;36,000;31,000;5,000
"ДВФО";"Забайкальский край";3;706,000;315,000;391,000;222,000;124,000;98,000
"ДВФО";"Камчатский край";3;506,000;304,000;202,000;82,000;72,000;10,000
"ДВФО";"Магаданская область";3;270,000;130,000;140,000;22,000;10,000;12,000
"ДВФО";"Приморский край";3;1302,000;691,000;611,000;401,000;247,000;154,000
"ДВФО";"Республика Бурятия";3;297,000;137,000;160,000;165,000;105,000;60,000
"ДВФО";"Республика Саха (Якутия)";3;892,000;580,000;312,000;178,000;93,000;85,000
"ДВФО";"Сахалинская область";3;872,000;568,000;304,000;65,000;38,000;27,000
"ДВФО";"Хабаровский край";3;4175,000;1038,000;3137,000;723,000;532,000;191,000
"ДВФО";"Чукотский автономный округ";3;83,000;44,000;39,000;,000;,000;,000
"ПФО";"Кировская область";3;840,000;413,000;427,000;282,000;212,000;70,000
"ПФО";"Нижегородская область";3;2436,000;1129,000;1307,000;492,000;261,000;231,000
"ПФО";"Оренбургская область";3;2118,000;953,000;1165,000;609,000;414,000;195,000
"ПФО";"Пензенская область";3;4389,000;2857,000;1532,000;821,000;638,000;183,000
"ПФО";"Пермский край";3;4506,000;2737,000;1769,000;999,000;630,000;369,000
"ПФО";"Республика Башкортостан";3;7739,000;4813,000;2926,000;729,000;373,000;356,000
"ПФО";"Республика Марий Эл";3;1084,000;682,000;402,000;350,000;227,000;123,000
"ПФО";"Республика Мордовия";3;548,000;220,000;328,000;229,000;139,000;90,000
"ПФО";"Республика Татарстан";3;4502,000;2667,000;1835,000;1043,000;697,000;346,000
"ПФО";"Самарская область";3;12868,000;8612,000;4256,000;2441,000;1925,000;516,000
"ПФО";"Саратовская область";3;1510,000;595,000;915,000;601,000;240,000;361,000
"ПФО";"Удмуртская Республика";3;1590,000;1257,000;333,000;425,000;287,000;138,000
"ПФО";"Ульяновская область";3;1311,000;806,000;505,000;254,000;190,000;64,000
