"FO_name";"Subj_Name";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15"
"ДВФО";"Амурская область";,000;13,000;13,000;2,000;,000;,000;,000;1,000;1,000;1,000;,000;,000;,000;,000;19,000
"ДВФО";"Еврейская автономная область";,000;5,000;3,000;,000;,000;,000;,000;1,000;,000;,000;,000;,000;,000;,000;1,000
"ДВФО";"Забайкальский край";,000;11,000;11,000;,000;,000;,000;,000;1,000;,000;,000;,000;,000;,000;,000;,000
"ДВФО";"Камчатский край";,000;7,000;6,000;,000;,000;,000;,000;1,000;,000;,000;,000;,000;,000;,000;7,000
"ДВФО";"Магаданская область";,000;3,000;3,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;1,000
"ДВФО";"Приморский край";1,000;25,000;12,000;,000;,000;,000;,000;1,000;,000;,000;,000;,000;,000;1,000;2,000
"ДВФО";"Республика Бурятия";,000;1,000;1,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000
"ДВФО";"Республика Саха (Якутия)";7,000;8,000;8,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;6,000
"ДВФО";"Сахалинская область";,000;17,000;14,000;1,000;,000;,000;,000;1,000;,000;2,000;,000;,000;,000;1,000;1,000
"ДВФО";"Хабаровский край";10,000;62,000;59,000;2,000;,000;8,000;,000;3,000;29,000;5,000;,000;,000;,000;,000;22,000
"ДВФО";"Чукотский автономный округ";,000;1,000;1,000;4,000;,000;,000;,000;1,000;,000;,000;,000;,000;,000;,000;,000
"ПФО";"Кировская область";1,000;18,000;17,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;18,000
"ПФО";"Нижегородская область";2,000;44,000;44,000;2,000;,000;,000;,000;3,000;33,000;3,000;,000;,000;,000;1,000;25,000
"ПФО";"Оренбургская область";2,000;14,000;12,000;3,000;,000;,000;,000;,000;127,000;7,000;,000;,000;,000;2,000;2,000
"ПФО";"Пензенская область";3,000;39,000;35,000;,000;,000;,000;,000;,000;43,000;2,000;1,000;,000;1,000;,000;26,000
"ПФО";"Пермский край";1,000;48,000;48,000;3,000;1,000;,000;1,000;2,000;56,000;3,000;,000;,000;,000;2,000;13,000
"ПФО";"Республика Башкортостан";,000;48,000;34,000;,000;,000;,000;,000;1,000;,000;1,000;,000;,000;,000;1,000;,000
"ПФО";"Республика Марий Эл";1,000;15,000;13,000;1,000;,000;1,000;,000;1,000;3,000;,000;,000;,000;,000;2,000;3,000
"ПФО";"Республика Мордовия";4,000;34,000;31,000;6,000;2,000;4,000;,000;1,000;16,000;3,000;,000;,000;,000;,000;33,000
"ПФО";"Республика Татарстан";15,000;120,000;111,000;14,000;,000;,000;,000;3,000;71,000;24,000;2,000;,000;1,000;1,000;4,000
"ПФО";"Самарская область";4,000;121,000;94,000;5,000;,000;,000;,000;2,000;13,000;5,000;,000;,000;,000;3,000;18,000
"ПФО";"Саратовская область";,000;3,000;3,000;,000;,000;,000;,000;,000;46,000;9,000;,000;,000;,000;,000;2,000
"ПФО";"Удмуртская Республика";6,000;33,000;30,000;1,000;,000;,000;,000;1,000;10,000;2,000;1,000;,000;,000;,000;2,000
"ПФО";"Ульяновская область";2,000;5,000;5,000;,000;,000;1,000;,000;,000;,000;,000;,000;,000;,000;,000;2,000
"ПФО";"Чувашская Республика — Чувашия";10,000;28,000;24,000;1,000;,000;,000;,000;2,000;22,000;1,000;,000;,000;1,000;,000;15,000
"СЗФО";"Архангельская область";6,000;11,000;11,000;,000;,000;,000;,000;1,000;54,000;,000;,000;,000;,000;,000;13,000
"СЗФО";"Вологодская область";1,000;13,000;8,000;4,000;,000;,000;,000;1,000;16,000;4,000;,000;,000;,000;3,000;15,000
"СЗФО";"Калининградская область";2,000;20,000;19,000;3,000;2,000;,000;,000;1,000;,000;,000;,000;,000;,000;1,000;12,000
"СЗФО";"Ленинградская область";1,000;12,000;12,000;,000;,000;,000;,000;1,000;,000;,000;,000;,000;,000;,000;12,000
"СЗФО";"Мурманская область";,000;12,000;12,000;,000;,000;,000;,000;,000;40,000;,000;,000;,000;,000;,000;,000
"СЗФО";"Ненецкий автономный округ";,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000
"СЗФО";"Новгородская область";,000;5,000;5,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;2,000
"СЗФО";"Псковская область";,000;22,000;15,000;3,000;,000;,000;,000;1,000;,000;,000;1,000;,000;,000;,000;1,000
"СЗФО";"Республика Карелия";,000;12,000;2,000;11,000;,000;2,000;,000;,000;,000;2,000;,000;,000;,000;,000;,000
"СЗФО";"Республика Коми";,000;6,000;6,000;4,000;2,000;8,000;,000;,000;18,000;,000;,000;,000;,000;1,000;12,000
"СЗФО";"Санкт-Петербург";16,000;127,000;111,000;15,000;,000;,000;,000;4,000;160,000;2,000;8,000;,000;8,000;,000;48,000
"СКФО";"Кабардино-Балкарская Республика";2,000;8,000;8,000;1,000;1,000;,000;,000;,000;4,000;,000;,000;,000;,000;1,000;2,000
"СКФО";"Карачаево-Черкесская Республика";,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000
"СКФО";"Республика Дагестан";,000;1,000;1,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000
"СКФО";"Республика Ингушетия";,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000
"СКФО";"Республика Северная Осетия — Алания";1,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000
"СКФО";"Ставропольский край";1,000;17,000;16,000;3,000;,000;,000;,000;1,000;18,000;2,000;,000;,000;,000;1,000;14,000
"СКФО";"Чеченская Республика";,000;,000;,000;,000;,000;,000;,000;1,000;,000;,000;,000;,000;,000;,000;,000
"СФО";"Алтайский край";,000;19,000;12,000;,000;,000;,000;,000;1,000;,000;3,000;1,000;,000;,000;,000;8,000
"СФО";"Иркутская область";6,000;48,000;48,000;5,000;1,000;,000;,000;3,000;40,000;,000;1,000;,000;1,000;,000;21,000
"СФО";"Кемеровская область";2,000;59,000;30,000;6,000;,000;,000;,000;3,000;,000;,000;2,000;,000;,000;,000;7,000
"СФО";"Красноярский край";5,000;42,000;42,000;4,000;,000;9,000;,000;2,000;61,000;,000;,000;,000;,000;,000;7,000
"СФО";"Новосибирская область";11,000;68,000;63,000;,000;,000;1,000;,000;3,000;6,000;11,000;1,000;,000;,000;2,000;14,000
"СФО";"Омская область";8,000;31,000;30,000;2,000;,000;1,000;,000;2,000;13,000;5,000;,000;,000;,000;2,000;11,000
"СФО";"Республика Алтай";,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;1,000;,000
"СФО";"Республика Тыва";,000;11,000;10,000;,000;,000;,000;,000;1,000;,000;,000;,000;,000;,000;,000;,000
"СФО";"Республика Хакасия";,000;16,000;14,000;3,000;,000;,000;,000;1,000;1,000;1,000;,000;,000;,000;,000;5,000
"СФО";"Томская область";,000;15,000;15,000;3,000;,000;,000;,000;,000;3,000;,000;,000;,000;,000;,000;2,000
"УФО";"Курганская область";4,000;23,000;23,000;1,000;1,000;,000;,000;2,000;1,000;1,000;,000;,000;,000;,000;18,000
"УФО";"Свердловская область";,000;47,000;39,000;6,000;,000;,000;,000;1,000;1,000;13,000;,000;,000;,000;,000;29,000
"УФО";"Тюменская область";3,000;51,000;41,000;7,000;1,000;,000;1,000;3,000;14,000;3,000;1,000;,000;,000;,000;26,000
"УФО";"Ханты-Мансийский автономный округ — Югра";,000;22,000;22,000;,000;,000;,000;,000;,000;4,000;2,000;,000;,000;,000;1,000;,000
"УФО";"Челябинская область";15,000;68,000;66,000;21,000;,000;8,000;,000;2,000;23,000;9,000;,000;,000;,000;5,000;6,000
"УФО";"Ямало-Ненецкий автономный округ";12,000;20,000;16,000;,000;,000;,000;,000;,000;,000;2,000;,000;,000;,000;,000;2,000
"ЦФО";"Белгородская область";1,000;9,000;9,000;1,000;,000;,000;,000;1,000;,000;,000;,000;,000;,000;,000;44,000
"ЦФО";"Брянская область";5,000;18,000;17,000;,000;,000;,000;,000;1,000;12,000;5,000;,000;,000;,000;1,000;,000
"ЦФО";"Владимирская область";,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;1,000
"ЦФО";"Воронежская область";1,000;22,000;12,000;5,000;,000;,000;,000;,000;5,000;,000;,000;,000;,000;,000;19,000
"ЦФО";"Ивановская область";,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;1,000;,000
"ЦФО";"Калужская область";1,000;51,000;18,000;2,000;,000;,000;,000;2,000;3,000;,000;,000;,000;,000;,000;3,000
"ЦФО";"Костромская область";,000;6,000;6,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;2,000
"ЦФО";"Курская область";3,000;16,000;12,000;10,000;,000;,000;,000;1,000;1,000;,000;,000;,000;,000;,000;13,000
"ЦФО";"Липецкая область";,000;11,000;10,000;1,000;1,000;,000;,000;1,000;,000;,000;,000;,000;,000;1,000;8,000
