FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47
ДВФО;Амурская область;3;19427;9385;434;8537;618;74;419;28;0;62;6;29;0;7919;1295;4836;401;0;1116;59;207;5;293;49;101;4;7;3;884;46;838;57;51;6;0;0;159;3133;953;2180;14348;1520;12224;41;563;1;0
ДВФО;Амурская область;4;18058;8398;397;8343;584;71;401;22;0;60;6;24;0;7759;1243;4807;370;0;1096;58;185;0;290;48;94;0;3;0;826;36;790;1;0;1;0;0;103;2691;771;1920;13694;1347;11754;38;555;0;0
ДВФО;Амурская область;5;11846;6175;277;5176;402;40;276;21;0;42;3;20;0;4774;616;2810;210;0;987;51;100;0;84;35;84;0;2;0;227;36;191;0;0;0;0;0;98;1610;613;997;9653;1164;7958;32;499;0;0
ДВФО;Амурская область;6;6212;2223;120;3167;182;31;125;1;0;18;3;4;0;2985;627;1997;160;0;109;7;85;0;206;13;10;0;1;0;599;0;599;1;0;1;0;0;5;1081;158;923;4041;183;3796;6;56;0;0
ДВФО;Амурская область;7;1369;987;37;194;34;3;18;6;0;2;0;5;0;160;52;29;31;0;20;1;22;5;3;1;7;4;4;3;58;10;48;56;51;5;0;0;56;442;182;260;654;173;470;3;8;1;0
ДВФО;Амурская область;8;1071;769;14;181;34;3;18;6;0;2;0;5;0;147;52;29;27;0;11;1;22;5;1;1;1;4;4;3;45;10;35;12;12;0;0;0;54;411;168;243;444;143;293;3;5;1;0
ДВФО;Амурская область;9;298;218;23;13;0;0;0;0;0;0;0;0;0;13;0;0;4;0;9;0;0;0;2;0;6;0;0;0;13;0;13;44;39;5;0;0;2;31;14;17;210;30;177;0;3;0;0
ДВФО;Амурская область;10;861;728;20;50;1;0;0;0;0;0;0;1;0;49;16;2;0;0;14;0;17;0;0;0;0;0;1;0;31;0;31;51;47;4;0;0;0;47;0;47;411;133;267;3;8;0;0
ДВФО;Амурская область;11;211;165;22;46;0;0;0;0;0;0;0;0;0;46;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;12;185;141;15;44;0;0;0;0;0;0;0;0;0;44;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
