FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
ДВФО;Амурская область;3;18058;8398;397;8343;584;71;401;22;0;60;6;24;0;7759;1243;4807;370;0;1096;58;185;0;290;48;94;0;3;0;826;36;790;1;0;1;0;0;103
ДВФО;Амурская область;4;602;426;21;91;0;0;0;0;0;0;0;0;0;91;0;0;0;0;91;0;0;0;22;0;0;0;0;0;63;36;27;0;0;0;0;0;0
ДВФО;Амурская область;5;4222;16;1;4108;288;31;234;10;0;0;5;8;0;3820;614;2876;200;0;1;58;71;0;45;12;51;0;0;0;0;0;0;0;0;0;0;0;2
ДВФО;Амурская область;6;351;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;306;0;306;0;0;0;0;0;0
ДВФО;Амурская область;7;12883;7947;375;4144;296;40;167;12;0;60;1;16;0;3848;629;1931;170;0;1004;0;114;0;223;36;7;0;3;0;457;0;457;1;0;1;0;0;101
ДВФО;Амурская область;8;2574;877;7;1157;46;16;25;4;0;0;0;1;0;1111;268;730;57;0;21;0;35;0;0;0;1;0;0;0;457;0;457;1;0;1;0;0;81
ДВФО;Амурская область;9;10309;7070;368;2987;250;24;142;8;0;60;1;15;0;2737;361;1201;113;0;983;0;79;0;223;36;6;0;3;0;0;0;0;0;0;0;0;0;20
ДВФО;Амурская область;10;1369;987;37;194;34;3;18;6;0;2;0;5;0;160;52;29;31;0;20;1;22;5;3;1;7;4;4;3;58;10;48;56;51;5;0;0;56
ДВФО;Амурская область;11;25;18;9;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;12;53;1;0;50;11;1;5;5;0;0;0;0;0;39;30;6;2;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;14;1291;968;28;142;23;2;13;1;0;2;0;5;0;119;22;23;29;0;18;0;22;5;1;1;7;0;3;3;58;10;48;56;51;5;0;0;56
ДВФО;Амурская область;15;823;543;12;103;11;1;8;0;0;0;0;2;0;92;21;23;19;0;4;0;20;5;1;1;6;0;0;0;58;10;48;56;51;5;0;0;56
ДВФО;Амурская область;16;468;425;16;39;12;1;5;1;0;2;0;3;0;27;1;0;10;0;14;0;2;0;0;0;1;0;3;3;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;3;2862;1232;324;1543;122;11;97;2;0;6;3;3;0;1421;238;932;46;0;139;5;61;0;18;0;0;0;1;0;0;0;0;9;9;0;0;0;59
ДВФО;Еврейская автономная область;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;5;1693;541;297;1152;104;4;91;0;0;3;3;3;0;1048;176;813;8;0;4;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;7;1169;691;27;391;18;7;6;2;0;3;0;0;0;373;62;119;38;0;135;5;14;0;18;0;0;0;1;0;0;0;0;9;9;0;0;0;59
ДВФО;Еврейская автономная область;8;216;20;0;191;11;4;3;1;0;3;0;0;0;180;53;58;15;0;36;5;13;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;4
ДВФО;Еврейская автономная область;9;953;671;27;200;7;3;3;1;0;0;0;0;0;193;9;61;23;0;99;0;1;0;18;0;0;0;1;0;0;0;0;8;8;0;0;0;55
ДВФО;Еврейская автономная область;10;500;270;0;129;2;0;0;2;0;0;0;0;0;127;13;92;7;0;15;0;0;0;0;0;0;1;21;20;39;15;24;32;19;10;3;0;8
ДВФО;Еврейская автономная область;11;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;12;117;64;0;40;0;0;0;0;0;0;0;0;0;40;8;32;0;0;0;0;0;0;0;0;0;0;0;0;13;0;13;0;0;0;0;0;0
ДВФО;Еврейская автономная область;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;14;381;205;0;89;2;0;0;2;0;0;0;0;0;87;5;60;7;0;15;0;0;0;0;0;0;0;21;20;26;15;11;32;19;10;3;0;8
ДВФО;Еврейская автономная область;15;279;144;0;69;2;0;0;2;0;0;0;0;0;67;5;45;3;0;14;0;0;0;0;0;0;0;0;0;26;15;11;32;19;10;3;0;8
ДВФО;Еврейская автономная область;16;102;61;0;20;0;0;0;0;0;0;0;0;0;20;0;15;4;0;1;0;0;0;0;0;0;0;21;20;0;0;0;0;0;0;0;0;0
ДВФО;Забайкальский край;3;23304;11804;1195;10178;792;155;379;53;0;199;0;6;0;8676;571;6177;832;0;713;221;162;0;552;40;188;0;82;82;59;0;59;14;14;0;0;0;427
ДВФО;Забайкальский край;4;2342;501;69;1820;260;0;72;3;0;183;0;2;0;862;0;391;0;0;471;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Забайкальский край;5;6597;1720;0;4795;266;99;152;15;0;0;0;0;0;4529;314;3555;398;0;135;127;0;0;0;0;0;0;82;82;0;0;0;0;0;0;0;0;0
ДВФО;Забайкальский край;6;262;0;0;223;0;0;0;0;0;0;0;0;0;223;0;138;85;0;0;0;0;0;0;0;0;0;0;0;39;0;39;0;0;0;0;0;0
ДВФО;Забайкальский край;7;14103;9583;1126;3340;266;56;155;35;0;16;0;4;0;3062;257;2093;349;0;107;94;162;0;531;40;188;0;0;0;20;0;20;14;14;0;0;0;427
ДВФО;Забайкальский край;8;5381;2125;114;2997;152;1;139;3;0;8;0;1;0;2843;216;2040;309;0;43;94;141;0;64;11;5;0;0;0;0;0;0;14;14;0;0;0;176
ДВФО;Забайкальский край;9;8722;7458;1012;343;114;55;16;32;0;8;0;3;0;219;41;53;40;0;64;0;21;0;467;29;183;0;0;0;20;0;20;0;0;0;0;0;251
ДВФО;Забайкальский край;10;3498;1850;412;1579;300;93;40;2;0;165;0;0;0;877;106;556;14;0;188;0;9;4;23;8;6;0;1;1;32;0;32;0;0;0;0;0;7
ДВФО;Забайкальский край;11;741;59;11;682;177;25;0;0;0;152;0;0;0;161;0;0;0;0;161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Забайкальский край;12;243;119;0;115;0;0;0;0;0;0;0;0;0;115;0;95;8;0;8;0;0;4;0;0;0;0;0;0;7;0;7;0;0;0;0;0;2
