FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9
ДВФО;Амурская область;3;19427;18058;11784;6274;1369;1071;298;407;365
ДВФО;Амурская область;4;12716;11904;8295;3609;812;622;190;273;
ДВФО;Амурская область;5;2657;2633;1692;941;24;4;20;20;
ДВФО;Амурская область;6;4274;3860;1206;2654;414;343;71;69;
ДВФО;Амурская область;7;2216;2165;127;2038;51;51;0;0;
ДВФО;Амурская область;8;2437;2294;2283;11;143;106;37;65;
ДВФО;Амурская область;9;4;4;4;0;0;0;0;0;
ДВФО;Еврейская автономная область;3;3362;2862;1746;1116;500;471;29;361;355
ДВФО;Еврейская автономная область;4;1707;1483;436;1047;224;224;0;178;
ДВФО;Еврейская автономная область;5;1346;1199;406;793;147;147;0;101;
ДВФО;Еврейская автономная область;6;1341;1247;1247;0;94;65;29;1;
ДВФО;Еврейская автономная область;7;534;534;534;0;0;0;0;0;
ДВФО;Еврейская автономная область;8;314;132;63;69;182;182;0;182;
ДВФО;Еврейская автономная область;9;0;0;0;0;0;0;0;0;
ДВФО;Забайкальский край;3;26802;23304;13308;9996;3498;2159;1339;980;4632
ДВФО;Забайкальский край;4;19649;18129;11009;7120;1520;1313;207;547;
ДВФО;Забайкальский край;5;7488;7161;3878;3283;327;240;87;214;
ДВФО;Забайкальский край;6;4525;3516;769;2747;1009;348;661;302;
ДВФО;Забайкальский край;7;114;105;105;0;9;0;9;9;
ДВФО;Забайкальский край;8;2628;1659;1530;129;969;498;471;131;
ДВФО;Забайкальский край;9;1163;424;424;0;739;461;278;131;
ДВФО;Камчатский край;3;18605;17698;14695;3003;907;717;190;317;11198
ДВФО;Камчатский край;4;15851;15391;12810;2581;460;325;135;140;
ДВФО;Камчатский край;5;5617;5403;3512;1891;214;130;84;37;
ДВФО;Камчатский край;6;1323;951;647;304;372;317;55;112;
ДВФО;Камчатский край;7;858;668;471;197;190;190;0;0;
ДВФО;Камчатский край;8;1431;1356;1238;118;75;75;0;65;
ДВФО;Камчатский край;9;914;914;902;12;0;0;0;0;
ДВФО;Магаданская область;3;4941;4712;2631;2081;229;155;74;22;1228
ДВФО;Магаданская область;4;3152;3034;2169;865;118;118;0;22;
ДВФО;Магаданская область;5;2376;2335;1637;698;41;41;0;0;
ДВФО;Магаданская область;6;1772;1671;459;1212;101;37;64;0;
ДВФО;Магаданская область;7;1042;1042;115;927;0;0;0;0;
ДВФО;Магаданская область;8;17;7;3;4;10;0;10;0;
ДВФО;Магаданская область;9;5;0;0;0;5;0;5;0;
ДВФО;Приморский край;3;58488;53539;33388;20151;4949;3054;1895;2770;10214
ДВФО;Приморский край;4;43417;40689;27748;12941;2728;1603;1125;1453;
ДВФО;Приморский край;5;15873;15287;10132;5155;586;198;388;327;
ДВФО;Приморский край;6;9332;7455;2142;5313;1877;1195;682;1274;
ДВФО;Приморский край;7;1075;1059;299;760;16;3;13;0;
ДВФО;Приморский край;8;5739;5395;3498;1897;344;256;88;43;
ДВФО;Приморский край;9;3878;3878;2602;1276;0;0;0;0;
ДВФО;Республика Бурятия;3;12255;8863;4329;4534;3392;2322;1070;871;4484
ДВФО;Республика Бурятия;4;9397;6833;3318;3515;2564;1869;695;593;
ДВФО;Республика Бурятия;5;586;515;331;184;71;69;2;13;
ДВФО;Республика Бурятия;6;2066;1595;625;970;471;201;270;197;
ДВФО;Республика Бурятия;7;240;181;86;95;59;50;9;28;
ДВФО;Республика Бурятия;8;792;435;386;49;357;252;105;81;
ДВФО;Республика Бурятия;9;132;114;114;0;18;18;0;11;
ДВФО;Республика Саха (Якутия);3;40860;37536;27387;10149;3324;1773;1551;1669;24471
ДВФО;Республика Саха (Якутия);4;26211;25028;20741;4287;1183;637;546;834;
ДВФО;Республика Саха (Якутия);5;10807;10736;10503;233;71;66;5;71;
ДВФО;Республика Саха (Якутия);6;8850;7688;3364;4324;1162;461;701;590;
ДВФО;Республика Саха (Якутия);7;980;980;798;182;0;0;0;0;
ДВФО;Республика Саха (Якутия);8;5799;4820;3282;1538;979;675;304;245;
ДВФО;Республика Саха (Якутия);9;399;262;262;0;137;92;45;45;
ДВФО;Сахалинская область;3;26085;25038;21569;3469;1047;651;396;505;5530
ДВФО;Сахалинская область;4;19086;18633;16223;2410;453;453;0;421;
ДВФО;Сахалинская область;5;3702;3585;1887;1698;117;117;0;117;
ДВФО;Сахалинская область;6;4604;4094;3265;829;510;178;332;0;
ДВФО;Сахалинская область;7;772;553;7;546;219;86;133;0;
ДВФО;Сахалинская область;8;2395;2311;2081;230;84;20;64;84;
ДВФО;Сахалинская область;9;0;0;0;0;0;0;0;0;
ДВФО;Хабаровский край;3;70418;63987;38666;25321;6431;4685;1746;2463;8317
ДВФО;Хабаровский край;4;47555;44265;28975;15290;3290;2257;1033;550;
ДВФО;Хабаровский край;5;14914;14060;7120;6940;854;532;322;258;
ДВФО;Хабаровский край;6;10619;8854;3754;5100;1765;1305;460;864;
ДВФО;Хабаровский край;7;4785;4496;2065;2431;289;176;113;161;
ДВФО;Хабаровский край;8;12244;10868;5937;4931;1376;1123;253;1049;
ДВФО;Хабаровский край;9;2855;2816;1009;1807;39;8;31;0;
ДВФО;Чукотский автономный округ;3;1895;1895;1211;684;0;0;0;0;510
ДВФО;Чукотский автономный округ;4;1129;1129;507;622;0;0;0;0;
ДВФО;Чукотский автономный округ;5;1116;1116;504;612;0;0;0;0;
ДВФО;Чукотский автономный округ;6;133;133;105;28;0;0;0;0;
ДВФО;Чукотский автономный округ;7;40;40;12;28;0;0;0;0;
ДВФО;Чукотский автономный округ;8;633;633;599;34;0;0;0;0;
ДВФО;Чукотский автономный округ;9;633;633;599;34;0;0;0;0;
ПФО;Кировская область;3;36858;30514;17989;12525;6344;5223;1121;973;3725
ПФО;Кировская область;4;20370;16882;9842;7040;3488;2611;877;652;
ПФО;Кировская область;5;5249;5072;2070;3002;177;142;35;2;
ПФО;Кировская область;6;10599;8251;4314;3937;2348;2226;122;226;
ПФО;Кировская область;7;2286;1928;98;1830;358;331;27;25;
ПФО;Кировская область;8;5889;5381;3833;1548;508;386;122;95;
ПФО;Кировская область;9;3;0;0;0;3;0;3;3;
ПФО;Нижегородская область;3;104764;94969;45620;49349;9795;6056;3739;3847;9510
ПФО;Нижегородская область;4;67316;61912;28963;32949;5404;3758;1646;1821;
ПФО;Нижегородская область;5;36685;35174;12468;22706;1511;1279;232;158;
ПФО;Нижегородская область;6;17500;13975;6050;7925;3525;1961;1564;1529;
ПФО;Нижегородская область;7;3230;2688;1316;1372;542;363;179;195;
ПФО;Нижегородская область;8;19948;19082;10607;8475;866;337;529;497;
ПФО;Нижегородская область;9;10504;10500;8663;1837;4;4;0;0;
ПФО;Оренбургская область;3;85658;76927;56241;20686;8731;5800;2931;4702;29745
ПФО;Оренбургская область;4;58749;55547;41911;13636;3202;2461;741;1422;
ПФО;Оренбургская область;5;5037;4887;1146;3741;150;62;88;69;
ПФО;Оренбургская область;6;16123;13802;9914;3888;2321;1299;1022;695;
ПФО;Оренбургская область;7;553;549;536;13;4;2;2;1;
ПФО;Оренбургская область;8;10786;7578;4416;3162;3208;2040;1168;2585;
ПФО;Оренбургская область;9;224;196;30;166;28;5;23;23;
ПФО;Пензенская область;3;54660;45245;22757;22488;9415;6285;3130;5539;18412
ПФО;Пензенская область;4;36172;31685;15404;16281;4487;2924;1563;3219;
ПФО;Пензенская область;5;7823;7573;1522;6051;250;70;180;195;
ПФО;Пензенская область;6;10868;9067;4660;4407;1801;1388;413;316;
ПФО;Пензенская область;7;776;559;161;398;217;158;59;0;
ПФО;Пензенская область;8;7620;4493;2693;1800;3127;1973;1154;2004;
ПФО;Пензенская область;9;23;23;0;23;0;0;0;0;
ПФО;Пермский край;3;171829;154548;111788;42760;17281;10554;6727;10326;24792
ПФО;Пермский край;4;110248;106136;84626;21510;4112;3769;343;2046;
ПФО;Пермский край;5;8475;8330;5356;2974;145;17;128;134;
ПФО;Пермский край;6;41290;35300;20706;14594;5990;4464;1526;1970;
ПФО;Пермский край;7;7128;6565;2308;4257;563;451;112;309;
ПФО;Пермский край;8;20291;13112;6456;6656;7179;2321;4858;6310;
ПФО;Пермский край;9;2074;2039;2039;0;35;35;0;35;
ПФО;Республика Башкортостан;3;134994;119952;71183;48769;15042;9741;5301;5036;67289
ПФО;Республика Башкортостан;4;79836;73213;52301;20912;6623;5243;1380;2458;
ПФО;Республика Башкортостан;5;6480;5925;2813;3112;555;107;448;493;
ПФО;Республика Башкортостан;6;39285;32801;11992;20809;6484;4076;2408;2050;
ПФО;Республика Башкортостан;7;1432;730;554;176;702;511;191;0;
ПФО;Республика Башкортостан;8;15873;13938;6890;7048;1935;422;1513;528;
ПФО;Республика Башкортостан;9;449;411;292;119;38;21;17;0;
ПФО;Республика Марий Эл;3;38030;33372;25327;8045;4658;3768;890;1089;8676
ПФО;Республика Марий Эл;4;25462;23646;19385;4261;1816;1717;99;1003;
ПФО;Республика Марий Эл;5;8089;7843;6095;1748;246;244;2;222;
ПФО;Республика Марий Эл;6;5227;3554;2727;827;1673;1343;330;14;
ПФО;Республика Марий Эл;7;1552;1089;1065;24;463;463;0;0;
ПФО;Республика Марий Эл;8;7341;6172;3215;2957;1169;708;461;72;
ПФО;Республика Марий Эл;9;381;381;255;126;0;0;0;0;
ПФО;Республика Мордовия;3;57615;53808;40926;12882;3807;2181;1626;2152;39419
ПФО;Республика Мордовия;4;47236;46500;36428;10072;736;624;112;528;
