FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
ДВФО;Амурская область;3;782;71;7;20;0;111;3;10;0;1;10;12;69;6;123;69;36;1;0;0;91;67;14;0;4;44;5;19;313;85;5
ДВФО;Амурская область;4;490;66;7;19;0;102;3;10;0;1;10;12;60;6;100;67;21;1;0;0;71;60;1;0;2;21;0;13;114;;
ДВФО;Амурская область;5;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Амурская область;6;23;1;0;0;0;20;1;5;0;1;9;0;1;3;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;;
ДВФО;Амурская область;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Амурская область;8;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Амурская область;9;8;1;0;0;0;7;0;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Амурская область;10;142;4;0;1;0;9;0;0;0;0;0;0;9;0;20;2;12;0;0;0;5;5;0;0;2;22;0;3;77;;
ДВФО;Амурская область;11;43;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;39;;
ДВФО;Амурская область;12;44;3;0;2;0;0;0;0;0;0;0;0;0;0;27;17;8;0;0;0;14;12;0;0;0;0;0;0;0;;
ДВФО;Амурская область;13;52;1;0;1;0;0;0;0;0;0;0;0;0;0;32;21;10;0;0;0;19;17;0;0;0;0;0;0;0;;
ДВФО;Амурская область;14;482;55;4;15;0;37;3;8;0;0;7;9;7;3;85;45;18;0;0;0;50;37;1;0;2;15;0;15;223;;
ДВФО;Амурская область;15;705;67;5;15;0;102;3;8;0;2;7;9;69;4;111;57;36;1;1;0;63;53;0;1;3;44;0;21;292;;
ДВФО;Еврейская автономная область;3;50;9;5;3;0;27;0;4;0;0;1;15;5;2;0;0;0;0;0;0;0;0;0;0;0;12;0;1;1;7;0
ДВФО;Еврейская автономная область;4;40;8;4;1;0;27;0;4;0;0;1;15;5;2;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;;
ДВФО;Еврейская автономная область;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Еврейская автономная область;6;7;3;2;1;0;4;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Еврейская автономная область;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Еврейская автономная область;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Еврейская автономная область;9;7;3;2;1;0;4;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Еврейская автономная область;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;;
ДВФО;Еврейская автономная область;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Еврейская автономная область;12;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Еврейская автономная область;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Еврейская автономная область;14;30;7;4;3;0;19;0;3;0;0;0;13;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;;
ДВФО;Еврейская автономная область;15;48,3;10,9;3;2;0;23,8;0;3;0;0;0;14,8;5;1;0;0;0;0;0;0;0;0;0;0;0;12,6;0;0;1;;
ДВФО;Забайкальский край;3;1006;61;11;31;4;331;6;42;0;13;92;18;69;91;85;55;14;0;0;0;141;126;14;1;21;60;70;80;156;190;31
ДВФО;Забайкальский край;4;722;59;11;31;4;318;6;42;0;13;92;18;56;91;63;48;2;0;0;0;121;117;3;1;17;30;18;48;47;;
ДВФО;Забайкальский край;5;42;6;1;4;1;36;2;19;0;11;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Забайкальский край;6;168;13;4;4;0;150;4;22;0;0;79;2;0;43;3;3;0;0;0;0;2;2;0;0;0;0;0;0;0;;
ДВФО;Забайкальский край;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Забайкальский край;8;22;5;1;3;1;17;1;13;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Забайкальский край;9;58;5;1;3;0;53;3;13;0;6;27;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Забайкальский край;10;75;2;0;0;0;6;0;0;0;0;0;0;6;0;2;2;0;0;0;0;12;7;5;0;4;11;4;8;26;;
ДВФО;Забайкальский край;11;81;0;0;0;0;7;0;0;0;0;0;0;7;0;12;0;12;0;0;0;6;0;6;0;0;3;29;15;9;;
ДВФО;Забайкальский край;12;85;16;4;11;0;0;0;0;0;0;0;0;0;0;35;12;0;0;0;0;34;34;0;0;0;0;0;0;0;;
ДВФО;Забайкальский край;13;46;2;1;0;0;0;0;0;0;0;0;0;0;0;16;5;0;0;0;0;28;24;3;0;0;0;0;0;0;;
ДВФО;Забайкальский край;14;673;39;4;13;3;256;6;29;0;7;72;16;57;69;61;25;2;0;0;0;94;88;5;1;8;34;36;61;83;;
ДВФО;Забайкальский край;15;683;47;6;16;2;312;6;42;0;11;89;18;62;84;26;9;13;0;0;0;35;34;0;1;16;43;67;55;81;;
ДВФО;Камчатский край;3;386;57;11;21;0;51;0;5;0;0;3;20;23;0;47;33;14;0;0;0;61;36;11;0;3;99;8;41;19;36;43
ДВФО;Камчатский край;4;257;55;11;20;0;49;0;5;0;0;3;20;21;0;34;30;4;0;0;0;42;27;1;0;3;38;0;31;5;;
ДВФО;Камчатский край;5;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Камчатский край;6;10;4;1;1;0;5;0;2;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;
ДВФО;Камчатский край;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Камчатский край;8;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Камчатский край;9;5;3;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;
ДВФО;Камчатский край;10;47;1;0;0;0;0;0;0;0;0;0;0;0;0;11;1;10;0;0;0;14;5;9;0;0;11;0;5;5;;
