FO_name;Subj_Name;Col_num;1;2
ДВФО;Амурская область;3;89;45
ДВФО;Амурская область;4;39;18
ДВФО;Амурская область;5;18;5
ДВФО;Еврейская автономная область;3;96;94
ДВФО;Еврейская автономная область;4;96;94
ДВФО;Еврейская автономная область;5;11;9
ДВФО;Забайкальский край;3;218;167
ДВФО;Забайкальский край;4;70;52
ДВФО;Забайкальский край;5;44;28
ДВФО;Камчатский край;3;652;356
ДВФО;Камчатский край;4;344;175
ДВФО;Камчатский край;5;268;111
ДВФО;Магаданская область;3;157;121
ДВФО;Магаданская область;4;37;2
ДВФО;Магаданская область;5;0;0
ДВФО;Приморский край;3;904;573
ДВФО;Приморский край;4;524;388
ДВФО;Приморский край;5;280;239
ДВФО;Республика Бурятия;3;223;136
ДВФО;Республика Бурятия;4;123;74
ДВФО;Республика Бурятия;5;60;50
ДВФО;Республика Саха (Якутия);3;866;683
ДВФО;Республика Саха (Якутия);4;616;473
ДВФО;Республика Саха (Якутия);5;85;82
ДВФО;Сахалинская область;3;186;137
ДВФО;Сахалинская область;4;148;115
ДВФО;Сахалинская область;5;101;88
ДВФО;Хабаровский край;3;1712;1599
ДВФО;Хабаровский край;4;1045;997
ДВФО;Хабаровский край;5;458;453
ДВФО;Чукотский автономный округ;3;13;4
ДВФО;Чукотский автономный округ;4;13;4
ДВФО;Чукотский автономный округ;5;4;4
ПФО;Кировская область;3;1035;843
ПФО;Кировская область;4;587;492
ПФО;Кировская область;5;100;58
ПФО;Нижегородская область;3;1655;924
ПФО;Нижегородская область;4;727;646
ПФО;Нижегородская область;5;293;275
ПФО;Оренбургская область;3;1326;533
ПФО;Оренбургская область;4;692;353
ПФО;Оренбургская область;5;526;224
ПФО;Пензенская область;3;1716;1568
ПФО;Пензенская область;4;457;310
ПФО;Пензенская область;5;82;29
ПФО;Пермский край;3;2728;2264
ПФО;Пермский край;4;1521;1308
ПФО;Пермский край;5;782;669
ПФО;Республика Башкортостан;3;922;575
ПФО;Республика Башкортостан;4;701;485
ПФО;Республика Башкортостан;5;238;198
ПФО;Республика Марий Эл;3;987;346
ПФО;Республика Марий Эл;4;718;191
ПФО;Республика Марий Эл;5;164;67
ПФО;Республика Мордовия;3;651;547
ПФО;Республика Мордовия;4;497;393
ПФО;Республика Мордовия;5;378;279
ПФО;Республика Татарстан;3;3434;2518
ПФО;Республика Татарстан;4;1985;1496
ПФО;Республика Татарстан;5;703;689
ПФО;Самарская область;3;3726;2805
ПФО;Самарская область;4;2068;1487
ПФО;Самарская область;5;1699;1205
ПФО;Саратовская область;3;1001;564
ПФО;Саратовская область;4;583;453
ПФО;Саратовская область;5;187;141
ПФО;Удмуртская Республика;3;2350;945
ПФО;Удмуртская Республика;4;1880;788
ПФО;Удмуртская Республика;5;1605;642
ПФО;Ульяновская область;3;518;339
