FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
ДВФО;Амурская область;3;71;7;20;0;111;3;10;0;1;10;12;69;6;91;67;14;0;4;19
ДВФО;Амурская область;4;23;3;10;0;91;3;10;0;0;10;12;50;6;81;63;9;0;1;9
ДВФО;Амурская область;5;10;2;8;0;90;3;10;0;0;10;12;49;6;69;60;0;0;0;1
ДВФО;Амурская область;6;1;0;1;0;22;2;4;0;0;8;1;1;6;58;58;0;0;1;7
ДВФО;Амурская область;7;0;0;0;0;8;0;1;0;0;0;0;7;0;5;5;0;0;0;0
ДВФО;Амурская область;8;14;0;6;0;77;2;10;0;0;8;9;42;6;64;60;0;0;0;3
ДВФО;Амурская область;9;6;0;6;0;66;2;9;0;0;3;9;42;1;7;7;0;0;0;1
ДВФО;Амурская область;10;1;0;1;0;20;1;4;0;0;8;1;0;6;57;57;0;0;0;2
ДВФО;Амурская область;11;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
ДВФО;Амурская область;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;3;9;5;3;0;27;0;4;0;0;1;15;5;2;0;0;0;0;0;1
ДВФО;Еврейская автономная область;4;7;4;2;0;25;0;4;0;0;1;15;5;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;5;5;3;2;0;22;0;2;0;0;0;15;5;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;6;3;1;1;0;15;0;2;0;0;0;12;1;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;8;5;3;2;0;18;0;2;0;0;0;11;5;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;9;4;2;2;0;18;0;2;0;0;0;11;5;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Забайкальский край;3;61;11;31;4;331;6;42;0;13;92;18;69;91;141;126;14;1;21;80
ДВФО;Забайкальский край;4;43;8;23;2;266;6;42;0;9;88;18;20;83;119;110;8;0;10;33
ДВФО;Забайкальский край;5;26;5;16;0;205;3;35;0;5;73;18;16;55;109;101;7;0;0;4
ДВФО;Забайкальский край;6;11;1;7;0;76;1;16;0;1;39;9;1;9;12;12;0;0;5;12
ДВФО;Забайкальский край;7;1;0;1;0;8;0;0;0;0;2;0;6;0;14;13;1;0;0;0
ДВФО;Забайкальский край;8;27;6;16;2;194;5;34;0;5;77;17;15;41;79;76;3;0;7;21
ДВФО;Забайкальский край;9;17;4;11;0;125;2;22;0;4;47;11;12;27;74;71;3;0;0;1
ДВФО;Забайкальский край;10;6;0;6;0;49;0;8;0;0;31;9;1;0;8;8;0;0;1;1
ДВФО;Забайкальский край;11;1;0;1;0;2;0;0;0;0;0;0;2;0;4;4;0;0;0;0
ДВФО;Забайкальский край;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Забайкальский край;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Камчатский край;3;57;11;21;0;51;0;5;0;0;3;20;23;0;61;36;11;0;3;41
ДВФО;Камчатский край;4;31;6;13;0;26;0;4;0;0;2;13;7;0;52;33;11;0;0;26
ДВФО;Камчатский край;5;21;3;8;0;22;0;4;0;0;2;13;3;0;42;23;10;0;0;18
ДВФО;Камчатский край;6;4;1;0;0;11;0;1;0;0;0;8;2;0;9;6;0;0;0;5
ДВФО;Камчатский край;7;1;1;0;0;0;0;0;0;0;0;0;0;0;7;7;0;0;0;3
ДВФО;Камчатский край;8;20;5;12;0;15;0;2;0;0;1;7;5;0;18;9;1;0;0;15
ДВФО;Камчатский край;9;9;2;4;0;10;0;2;0;0;1;7;0;0;13;6;1;0;0;8
ДВФО;Камчатский край;10;4;1;0;0;6;0;1;0;0;0;4;1;0;7;3;0;0;0;1
ДВФО;Камчатский край;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Камчатский край;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Камчатский край;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Магаданская область;3;39;14;12;1;4;0;1;0;0;0;0;3;0;62;37;14;0;3;20
ДВФО;Магаданская область;4;19;7;8;1;1;0;0;0;0;0;0;1;0;46;22;14;0;0;0
ДВФО;Магаданская область;5;16;5;7;1;1;0;0;0;0;0;0;1;0;39;20;14;0;0;0
ДВФО;Магаданская область;6;3;1;2;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0
ДВФО;Магаданская область;7;4;2;0;0;0;0;0;0;0;0;0;0;0;4;1;3;0;0;0
ДВФО;Магаданская область;8;13;4;4;0;0;0;0;0;0;0;0;0;0;46;22;14;0;0;0
ДВФО;Магаданская область;9;12;3;4;0;0;0;0;0;0;0;0;0;0;30;11;14;0;0;0
ДВФО;Магаданская область;10;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0
ДВФО;Магаданская область;11;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;0;0;0
ДВФО;Магаданская область;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Магаданская область;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Приморский край;3;162;30;84;11;628;9;43;4;49;193;102;164;64;258;187;33;3;20;312
ДВФО;Приморский край;4;112;21;56;9;424;9;28;2;27;111;89;98;60;144;106;33;3;7;58
ДВФО;Приморский край;5;61;10;33;7;197;9;18;0;9;53;33;69;6;130;96;32;3;1;38
ДВФО;Приморский край;6;26;4;10;1;96;5;13;0;10;30;36;2;0;15;6;9;1;1;2
ДВФО;Приморский край;7;11;2;3;1;39;3;6;0;2;10;14;4;0;26;16;10;1;0;7
ДВФО;Приморский край;8;61;9;28;4;202;6;17;1;11;59;49;44;15;85;58;24;2;3;33
ДВФО;Приморский край;9;27;3;14;3;106;6;13;0;3;30;18;36;0;81;54;24;2;0;19
ДВФО;Приморский край;10;16;2;7;1;52;4;4;0;1;18;23;2;0;15;6;9;1;0;1
ДВФО;Приморский край;11;6;1;3;1;17;2;2;0;1;3;7;2;0;15;6;9;0;0;7
ДВФО;Приморский край;12;1;1;0;0;8;2;2;0;1;3;0;0;0;0;0;0;0;0;0
ДВФО;Приморский край;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;3;32;4;13;1;426;6;51;3;25;243;78;15;5;194;171;2;0;0;45
ДВФО;Республика Бурятия;4;13;3;9;1;356;6;47;3;17;216;50;12;5;113;107;2;0;0;8
ДВФО;Республика Бурятия;5;12;3;9;0;322;5;39;2;15;207;39;10;5;113;107;2;0;0;4
ДВФО;Республика Бурятия;6;0;0;0;0;225;2;8;2;4;175;31;3;0;0;0;0;0;0;3
ДВФО;Республика Бурятия;7;1;0;1;0;6;0;1;1;1;1;2;0;0;2;2;0;0;0;0
ДВФО;Республика Бурятия;8;12;3;5;1;166;3;10;1;4;117;20;8;3;58;56;2;0;0;4
ДВФО;Республика Бурятия;9;11;3;5;0;155;2;9;1;4;109;20;8;2;53;53;0;0;0;1
ДВФО;Республика Бурятия;10;0;0;0;0;10;1;1;1;0;7;0;0;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;11;0;0;0;0;6;0;1;1;1;1;2;0;0;1;1;0;0;0;0
ДВФО;Республика Бурятия;12;0;0;0;0;3;0;0;1;1;0;1;0;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;13;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0
ДВФО;Республика Саха (Якутия);3;105;24;43;5;490;52;35;20;7;56;76;231;13;174;83;6;4;34;152
