FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
ДВФО;Амурская область;3;2;0;0;2;2;1;0;0;0;1;1;1;1;0;0;0;1;1;0;0;1;1;0;0;0
ДВФО;Еврейская автономная область;3;1;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0
ДВФО;Забайкальский край;3;2;1;1;2;2;0;0;0;1;1;0;2;0;0;0;1;0;1;0;0;1;1;0;0;0
ДВФО;Камчатский край;3;2;1;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;1;1;0;0;1;0;1;0
ДВФО;Магаданская область;3;3;1;1;3;3;0;1;0;0;2;0;3;0;0;0;1;2;0;0;0;1;1;0;0;1
ДВФО;Приморский край;3;7;1;4;6;6;1;0;1;2;4;0;4;1;2;0;2;4;1;0;0;2;5;0;0;0
ДВФО;Республика Бурятия;3;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
ДВФО;Республика Саха (Якутия);3;5;0;1;5;5;1;1;0;2;2;0;4;0;0;1;0;1;3;0;1;2;2;1;0;0
ДВФО;Сахалинская область;3;9;2;3;8;7;4;0;0;2;5;2;5;2;2;0;5;3;1;0;0;5;4;0;0;0
ДВФО;Хабаровский край;3;21;2;6;20;17;11;0;4;5;11;1;18;2;0;1;5;9;6;0;1;9;9;2;1;0
ДВФО;Чукотский автономный округ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Кировская область;3;10;1;5;8;10;0;0;0;4;5;1;9;0;0;1;3;5;2;0;0;3;5;2;0;0
ПФО;Нижегородская область;3;16;1;8;13;16;4;0;0;4;9;3;15;0;0;1;2;6;6;1;1;6;7;2;0;1
ПФО;Оренбургская область;3;17;2;11;14;16;6;1;2;6;6;2;15;1;1;0;2;7;5;2;1;5;5;4;1;2
ПФО;Пензенская область;3;13;2;5;12;12;5;0;1;5;6;1;13;0;0;0;3;6;2;2;0;7;3;3;0;0
ПФО;Пермский край;3;33;7;10;30;27;12;0;4;14;12;3;27;3;0;3;10;15;7;0;1;6;16;9;1;1
ПФО;Республика Башкортостан;3;6;2;2;6;6;0;0;0;4;2;0;6;0;0;0;3;0;2;1;0;3;1;2;0;0
ПФО;Республика Марий Эл;3;7;0;3;5;6;2;1;1;1;4;0;7;0;0;0;1;2;2;1;1;4;2;0;1;0
ПФО;Республика Мордовия;3;6;0;3;5;6;1;0;1;1;1;3;6;0;0;0;2;1;1;2;0;0;3;1;0;2
