FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14
ДВФО;Амурская область;3;1043;971;27;99;259;0;16;0;0;53;38;373;54;69
ДВФО;Амурская область;4;192;19;0;21;132;0;16;0;0;0;0;0;0;0
ДВФО;Амурская область;5;121;0;0;12;121;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;3;79;13;2;58;79;78;0;0;0;12;1;16;3;7
ДВФО;Еврейская автономная область;4;44;12;1;25;44;43;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;5;29;0;0;20;29;28;0;0;0;0;0;0;0;0
ДВФО;Забайкальский край;3;63;7;0;0;63;54;0;4;4;10;2;12;6;7
ДВФО;Забайкальский край;4;43;7;0;0;43;39;0;0;0;0;0;0;0;0
ДВФО;Забайкальский край;5;16;1;0;0;16;15;0;0;0;0;0;0;0;0
ДВФО;Камчатский край;3;282;61;0;181;253;30;13;1;1;24;4;48;10;39
ДВФО;Камчатский край;4;157;47;0;72;134;0;4;0;0;0;0;0;0;0
ДВФО;Камчатский край;5;54;31;0;41;42;0;0;0;0;0;0;0;0;0
ДВФО;Магаданская область;3;76;15;2;62;60;54;1;0;0;5;3;18;7;35
ДВФО;Магаданская область;4;28;6;0;25;20;17;1;0;0;0;0;0;0;0
ДВФО;Магаданская область;5;22;2;0;21;13;13;0;0;0;0;0;0;0;0
ДВФО;Приморский край;3;557;314;22;426;497;314;86;0;0;52;16;135;42;86
ДВФО;Приморский край;4;322;167;22;230;266;156;84;0;0;0;0;0;0;0
ДВФО;Приморский край;5;69;16;0;46;49;26;1;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;3;81;34;0;0;78;78;13;0;0;5;3;5;1;5
ДВФО;Республика Бурятия;4;73;34;0;0;70;70;12;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;5;73;29;0;0;70;70;12;0;0;0;0;0;0;0
ДВФО;Республика Саха (Якутия);3;432;148;14;396;421;230;2;1;1;47;18;89;11;60
ДВФО;Республика Саха (Якутия);4;196;121;10;151;172;69;1;0;0;0;0;0;0;0
ДВФО;Республика Саха (Якутия);5;53;30;10;30;53;20;0;0;0;0;0;0;0;0
ДВФО;Сахалинская область;3;721;357;0;267;354;196;3;1;0;94;9;71;89;20
ДВФО;Сахалинская область;4;295;139;0;192;232;136;0;0;0;0;0;0;0;0
ДВФО;Сахалинская область;5;76;34;0;27;55;7;0;0;0;0;0;0;0;0
ДВФО;Хабаровский край;3;1488;618;58;689;970;749;88;1;1;137;51;298;68;216
ДВФО;Хабаровский край;4;822;275;32;348;453;303;37;0;0;0;0;0;0;0
ДВФО;Хабаровский край;5;417;155;10;262;282;209;23;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;3;75;29;11;59;75;1;8;0;0;6;1;19;15;8
ДВФО;Чукотский автономный округ;4;33;20;11;33;22;0;0;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;5;22;20;0;22;22;0;0;0;0;0;0;0;0;0
ПФО;Кировская область;3;681;181;5;532;623;308;15;1;1;106;14;115;10;123
ПФО;Кировская область;4;412;95;0;337;386;176;15;0;0;0;0;0;0;0
ПФО;Кировская область;5;231;65;0;194;222;150;14;0;0;0;0;0;0;0
ПФО;Нижегородская область;3;1401;293;29;1120;1266;789;66;5;1;151;41;269;80;169
ПФО;Нижегородская область;4;793;194;27;567;606;234;59;0;0;0;0;0;0;0
ПФО;Нижегородская область;5;188;69;10;134;150;66;0;0;0;0;0;0;0;0
ПФО;Оренбургская область;3;647;244;7;305;471;300;85;2;1;74;12;149;49;89
ПФО;Оренбургская область;4;422;158;4;183;292;176;54;0;0;0;0;0;0;0
ПФО;Оренбургская область;5;303;118;2;128;191;121;28;0;0;0;0;0;0;0
ПФО;Пензенская область;3;1026;218;3;656;716;535;12;0;0;109;8;508;109;144
ПФО;Пензенская область;4;838;176;2;568;599;491;6;0;0;0;0;0;0;0
ПФО;Пензенская область;5;140;13;0;79;102;31;1;0;0;0;0;0;0;0
ПФО;Пермский край;3;1931;854;51;1058;1677;642;100;2;2;193;30;316;89;276
ПФО;Пермский край;4;1184;576;34;614;916;266;65;0;0;0;0;0;0;0
ПФО;Пермский край;5;542;281;5;308;454;128;35;0;0;0;0;0;0;0
ПФО;Республика Башкортостан;3;787;171;15;697;573;540;35;2;2;66;24;169;25;101
ПФО;Республика Башкортостан;4;389;91;15;325;210;219;22;0;0;0;0;0;0;0
ПФО;Республика Башкортостан;5;290;6;15;186;98;125;11;0;0;0;0;0;0;0
ПФО;Республика Марий Эл;3;388;135;3;257;283;136;22;0;0;31;2;89;15;41
ПФО;Республика Марий Эл;4;235;112;1;178;193;66;19;0;0;0;0;0;0;0
ПФО;Республика Марий Эл;5;90;21;0;71;83;35;1;0;0;0;0;0;0;0
ПФО;Республика Мордовия;3;800;184;7;689;728;658;44;2;1;34;20;59;15;113
ПФО;Республика Мордовия;4;566;30;2;544;538;500;43;0;0;0;0;0;0;0
ПФО;Республика Мордовия;5;118;9;0;115;118;95;0;0;0;0;0;0;0;0
ПФО;Республика Татарстан;3;3620;759;435;1297;1711;1062;102;3;1;260;96;1237;959;513
ПФО;Республика Татарстан;4;1500;523;10;816;1110;655;68;0;0;0;0;0;0;0
ПФО;Республика Татарстан;5;782;221;10;369;449;196;51;0;0;0;0;0;0;0
ПФО;Самарская область;3;3506;1476;70;2301;2866;1717;241;58;20;296;61;644;234;598
ПФО;Самарская область;4;2311;1038;59;1312;1675;940;91;0;0;0;0;0;0;0
ПФО;Самарская область;5;1077;549;18;622;794;462;45;0;0;0;0;0;0;0
ПФО;Саратовская область;3;374;118;1;294;308;39;17;5;3;33;2;45;16;66
ПФО;Саратовская область;4;223;77;0;186;164;8;5;0;0;0;0;0;0;0
ПФО;Саратовская область;5;135;62;0;111;88;8;2;0;0;0;0;0;0;0
ПФО;Удмуртская Республика;3;587;172;0;423;273;222;21;0;0;63;13;85;28;61
ПФО;Удмуртская Республика;4;346;89;0;246;135;113;14;0;0;0;0;0;0;0
ПФО;Удмуртская Республика;5;246;60;0;199;107;95;14;0;0;0;0;0;0;0
ПФО;Ульяновская область;3;269;121;5;107;206;76;8;15;15;25;10;61;21;36
ПФО;Ульяновская область;4;219;101;5;79;132;27;2;0;0;0;0;0;0;0
ПФО;Ульяновская область;5;150;63;5;65;100;27;2;0;0;0;0;0;0;0
ПФО;Чувашская Республика — Чувашия;3;699;321;20;372;417;172;10;0;0;88;5;137;14;83
ПФО;Чувашская Республика — Чувашия;4;238;77;8;140;164;86;5;0;0;0;0;0;0;0
ПФО;Чувашская Республика — Чувашия;5;156;41;8;132;127;67;2;0;0;0;0;0;0;0
СЗФО;Архангельская область;3;388;129;6;300;293;236;21;3;3;63;4;106;28;54
СЗФО;Архангельская область;4;182;88;0;136;119;80;11;0;0;0;0;0;0;0
СЗФО;Архангельская область;5;115;39;0;96;76;42;10;0;0;0;0;0;0;0
СЗФО;Вологодская область;3;706;256;21;431;624;300;20;0;0;80;15;135;37;95
СЗФО;Вологодская область;4;412;191;15;220;336;109;5;0;0;0;0;0;0;0
СЗФО;Вологодская область;5;234;51;12;97;199;67;5;0;0;0;0;0;0;0
СЗФО;Калининградская область;3;1146;634;88;831;984;777;63;4;1;74;27;315;67;108
СЗФО;Калининградская область;4;653;353;51;456;592;422;42;0;0;0;0;0;0;0
СЗФО;Калининградская область;5;382;139;21;261;338;229;37;0;0;0;0;0;0;0
СЗФО;Ленинградская область;3;307;116;27;303;307;303;10;0;0;30;13;93;16;14
СЗФО;Ленинградская область;4;143;116;27;134;136;134;4;0;0;0;0;0;0;0
СЗФО;Ленинградская область;5;5;0;0;5;5;5;0;0;0;0;0;0;0;0
СЗФО;Мурманская область;3;437;223;4;306;339;162;45;0;0;47;10;110;48;57
СЗФО;Мурманская область;4;240;142;2;185;169;83;0;0;0;0;0;0;0;0
СЗФО;Мурманская область;5;55;15;0;26;31;15;0;0;0;0;0;0;0;0
СЗФО;Ненецкий автономный округ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
