FO_name;Subj_Name;Col_num;1;2;3;4
ДВФО;Амурская область;3;0;0;0;0
ДВФО;Амурская область;4;0;0;0;0
ДВФО;Амурская область;5;0;0;0;0
ДВФО;Амурская область;6;0;0;0;0
ДВФО;Амурская область;7;3;3;3;3
ДВФО;Амурская область;8;3;3;0;0
ДВФО;Амурская область;9;0;0;0;0
ДВФО;Еврейская автономная область;3;0;0;0;0
ДВФО;Еврейская автономная область;4;0;0;0;0
ДВФО;Еврейская автономная область;5;0;0;0;0
ДВФО;Еврейская автономная область;6;3;3;3;3
ДВФО;Еврейская автономная область;7;3;0;3;3
ДВФО;Еврейская автономная область;8;3;3;0;0
ДВФО;Еврейская автономная область;9;0;0;0;0
ДВФО;Забайкальский край;3;0;0;0;0
ДВФО;Забайкальский край;4;0;0;0;0
ДВФО;Забайкальский край;5;0;0;0;0
ДВФО;Забайкальский край;6;0;0;0;0
ДВФО;Забайкальский край;7;6;6;6;3
ДВФО;Забайкальский край;8;3;3;3;3
ДВФО;Забайкальский край;9;0;0;0;0
ДВФО;Камчатский край;3;0;0;0;0
ДВФО;Камчатский край;4;0;0;0;0
ДВФО;Камчатский край;5;0;0;0;0
ДВФО;Камчатский край;6;3;3;0;3
ДВФО;Камчатский край;7;15;9;9;6
ДВФО;Камчатский край;8;6;6;6;6
ДВФО;Камчатский край;9;0;0;0;0
ДВФО;Магаданская область;3;0;0;0;0
ДВФО;Магаданская область;4;0;0;0;0
ДВФО;Магаданская область;5;0;0;0;0
ДВФО;Магаданская область;6;0;0;3;0
ДВФО;Магаданская область;7;12;9;3;3
ДВФО;Магаданская область;8;3;3;0;0
ДВФО;Магаданская область;9;0;0;0;0
ДВФО;Приморский край;3;0;0;0;0
ДВФО;Приморский край;4;0;0;0;0
ДВФО;Приморский край;5;0;0;0;0
ДВФО;Приморский край;6;3;3;6;3
ДВФО;Приморский край;7;15;15;6;6
ДВФО;Приморский край;8;9;3;6;3
ДВФО;Приморский край;9;3;0;0;3
ДВФО;Республика Бурятия;3;0;0;0;0
ДВФО;Республика Бурятия;4;0;0;0;0
ДВФО;Республика Бурятия;5;0;0;0;0
ДВФО;Республика Бурятия;6;0;0;0;3
ДВФО;Республика Бурятия;7;3;3;3;0
ДВФО;Республика Бурятия;8;3;3;3;3
ДВФО;Республика Бурятия;9;0;0;0;0
ДВФО;Республика Саха (Якутия);3;0;0;0;0
ДВФО;Республика Саха (Якутия);4;0;0;0;3
ДВФО;Республика Саха (Якутия);5;3;3;6;0
ДВФО;Республика Саха (Якутия);6;3;3;3;3
ДВФО;Республика Саха (Якутия);7;12;9;3;6
ДВФО;Республика Саха (Якутия);8;9;9;3;3
ДВФО;Республика Саха (Якутия);9;0;0;0;0
ДВФО;Сахалинская область;3;0;0;0;0
ДВФО;Сахалинская область;4;0;0;0;0
ДВФО;Сахалинская область;5;0;0;0;0
ДВФО;Сахалинская область;6;6;3;3;3
ДВФО;Сахалинская область;7;24;15;12;9
ДВФО;Сахалинская область;8;15;9;3;3
ДВФО;Сахалинская область;9;6;3;3;0
ДВФО;Хабаровский край;3;3;3;0;0
ДВФО;Хабаровский край;4;9;6;9;12
ДВФО;Хабаровский край;5;9;6;9;12
ДВФО;Хабаровский край;6;12;3;9;6
ДВФО;Хабаровский край;7;42;24;27;21
ДВФО;Хабаровский край;8;33;24;12;6
ДВФО;Хабаровский край;9;9;9;9;9
ДВФО;Чукотский автономный округ;3;3;3;0;0
ДВФО;Чукотский автономный округ;4;3;3;0;0
ДВФО;Чукотский автономный округ;5;0;0;0;0
ДВФО;Чукотский автономный округ;6;0;0;0;0
ДВФО;Чукотский автономный округ;7;0;0;0;0
ДВФО;Чукотский автономный округ;8;0;0;0;0
ДВФО;Чукотский автономный округ;9;0;0;0;0
ПФО;Кировская область;3;0;0;0;0
ПФО;Кировская область;4;3;0;0;0
ПФО;Кировская область;5;0;0;3;3
ПФО;Кировская область;6;6;3;0;0
ПФО;Кировская область;7;30;24;27;18
ПФО;Кировская область;8;21;15;12;3
ПФО;Кировская область;9;0;0;0;0
ПФО;Нижегородская область;3;6;6;3;3
ПФО;Нижегородская область;4;3;3;0;0
ПФО;Нижегородская область;5;0;0;3;3
ПФО;Нижегородская область;6;0;0;0;0
ПФО;Нижегородская область;7;36;30;33;18
ПФО;Нижегородская область;8;24;24;6;6
ПФО;Нижегородская область;9;0;0;0;0
ПФО;Оренбургская область;3;3;3;3;3
ПФО;Оренбургская область;4;3;3;3;3
ПФО;Оренбургская область;5;9;9;0;3
ПФО;Оренбургская область;6;9;9;9;9
ПФО;Оренбургская область;7;39;33;18;12
ПФО;Оренбургская область;8;30;27;24;12
ПФО;Оренбургская область;9;9;9;3;0
ПФО;Пензенская область;3;6;3;6;3
ПФО;Пензенская область;4;9;3;3;0
ПФО;Пензенская область;5;0;0;0;0
ПФО;Пензенская область;6;9;9;6;6
ПФО;Пензенская область;7;27;21;9;18
ПФО;Пензенская область;8;21;18;12;9
ПФО;Пензенская область;9;9;9;6;3
ПФО;Пермский край;3;6;0;0;3
ПФО;Пермский край;4;18;15;12;9
ПФО;Пермский край;5;18;15;15;9
ПФО;Пермский край;6;21;21;12;15
ПФО;Пермский край;7;63;51;42;24
ПФО;Пермский край;8;54;54;48;39
ПФО;Пермский край;9;27;18;3;6
ПФО;Республика Башкортостан;3;3;3;0;0
ПФО;Республика Башкортостан;4;0;0;0;3
ПФО;Республика Башкортостан;5;0;0;0;0
ПФО;Республика Башкортостан;6;3;3;3;0
ПФО;Республика Башкортостан;7;6;3;0;0
ПФО;Республика Башкортостан;8;15;12;12;9
ПФО;Республика Башкортостан;9;0;0;0;0
ПФО;Республика Марий Эл;3;0;0;0;0
ПФО;Республика Марий Эл;4;0;0;0;0
ПФО;Республика Марий Эл;5;0;0;0;0
ПФО;Республика Марий Эл;6;6;6;3;6
ПФО;Республика Марий Эл;7;24;24;15;15
ПФО;Республика Марий Эл;8;15;12;6;6
ПФО;Республика Марий Эл;9;3;3;0;0
ПФО;Республика Мордовия;3;0;0;0;0
ПФО;Республика Мордовия;4;0;0;0;0
ПФО;Республика Мордовия;5;3;3;3;3
ПФО;Республика Мордовия;6;3;0;3;3
ПФО;Республика Мордовия;7;15;12;9;6
ПФО;Республика Мордовия;8;3;3;0;0
ПФО;Республика Мордовия;9;0;0;0;0
ПФО;Республика Татарстан;3;12;3;0;6
ПФО;Республика Татарстан;4;3;3;3;0
ПФО;Республика Татарстан;5;15;9;9;6
ПФО;Республика Татарстан;6;6;6;12;3
ПФО;Республика Татарстан;7;57;51;30;12
ПФО;Республика Татарстан;8;36;27;6;9
ПФО;Республика Татарстан;9;18;18;6;6
ПФО;Самарская область;3;9;3;3;3
ПФО;Самарская область;4;12;12;3;3
ПФО;Самарская область;5;21;18;15;6
ПФО;Самарская область;6;33;21;18;30
ПФО;Самарская область;7;174;141;117;81
ПФО;Самарская область;8;102;93;54;27
ПФО;Самарская область;9;36;21;18;18
ПФО;Саратовская область;3;0;0;0;0
ПФО;Саратовская область;4;0;0;0;0
ПФО;Саратовская область;5;3;0;3;3
ПФО;Саратовская область;6;12;9;6;3
ПФО;Саратовская область;7;12;9;6;12
ПФО;Саратовская область;8;21;15;12;6
ПФО;Саратовская область;9;0;0;0;0
ПФО;Удмуртская Республика;3;0;0;0;0
ПФО;Удмуртская Республика;4;0;0;0;0
ПФО;Удмуртская Республика;5;0;0;0;0
ПФО;Удмуртская Республика;6;0;0;3;0
ПФО;Удмуртская Республика;7;21;21;9;3
ПФО;Удмуртская Республика;8;15;12;12;9
ПФО;Удмуртская Республика;9;3;3;0;3
ПФО;Ульяновская область;3;3;0;3;6
ПФО;Ульяновская область;4;3;3;3;3
ПФО;Ульяновская область;5;3;3;0;0
ПФО;Ульяновская область;6;6;6;0;0
ПФО;Ульяновская область;7;21;21;12;9
ПФО;Ульяновская область;8;33;21;12;6
ПФО;Ульяновская область;9;3;0;0;0
ПФО;Чувашская Республика — Чувашия;3;0;0;0;0
ПФО;Чувашская Республика — Чувашия;4;0;3;0;0
ПФО;Чувашская Республика — Чувашия;5;0;0;3;3
ПФО;Чувашская Республика — Чувашия;6;0;0;0;0
ПФО;Чувашская Республика — Чувашия;7;9;9;12;15
ПФО;Чувашская Республика — Чувашия;8;21;18;9;6
ПФО;Чувашская Республика — Чувашия;9;3;3;3;3
