FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11
ДВФО;Амурская область;3;331;264;204;67;57;0;0;261;60;0;10
ДВФО;Амурская область;4;845;0;0;0;0;0;0;0;845;0;0
ДВФО;Амурская область;5;32464;21970;21510;9492;9482;1002;0;31994;460;0;10
ДВФО;Амурская область;6;1301;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;7;529;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;3;141;80;80;61;61;0;0;141;0;0;0
ДВФО;Еврейская автономная область;4;320;260;60;0;0;0;0;320;0;0;0
ДВФО;Еврейская автономная область;5;28692;22595;4059;6097;2159;0;0;28692;0;0;0
ДВФО;Еврейская автономная область;6;9647;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;7;5920;0;0;0;0;0;0;0;0;0;0
ДВФО;Забайкальский край;3;180;115;101;55;42;10;0;180;0;0;0
ДВФО;Забайкальский край;4;163;163;163;0;0;0;0;163;0;0;0
ДВФО;Забайкальский край;5;32150;9418;7038;15390;15301;5587;1131;31838;204;0;108
ДВФО;Забайкальский край;6;3077;0;0;0;0;0;0;0;0;0;0
ДВФО;Забайкальский край;7;2513;0;0;0;0;0;0;0;0;0;0
ДВФО;Камчатский край;3;640;238;20;353;0;0;0;575;0;0;65
ДВФО;Камчатский край;4;318;71;46;209;0;24;14;318;0;0;0
ДВФО;Камчатский край;5;15708;2642;150;12452;0;383;79;15540;0;0;168
ДВФО;Камчатский край;6;806;0;0;0;0;0;0;0;0;0;0
ДВФО;Камчатский край;7;46;0;0;0;0;0;0;0;0;0;0
ДВФО;Магаданская область;3;31128;31084;0;24;0;0;0;31068;40;0;20
ДВФО;Магаданская область;4;1044;0;0;12;0;0;0;1044;0;0;0
ДВФО;Магаданская область;5;30312;30054;0;48;0;0;0;30094;40;0;178
ДВФО;Магаданская область;6;1500;0;0;0;0;0;0;0;0;0;0
ДВФО;Магаданская область;7;1000;0;0;0;0;0;0;0;0;0;0
ДВФО;Приморский край;3;1239;250;196;294;269;0;0;1238;0;0;1
ДВФО;Приморский край;4;3289;946;941;1548;1548;0;0;3289;0;0;0
ДВФО;Приморский край;5;25157;9515;5430;3335;3040;4046;1854;25025;10;13;109
ДВФО;Приморский край;6;55090;0;0;0;0;0;0;0;0;0;0
ДВФО;Приморский край;7;51421;0;0;0;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;3;39;39;0;0;0;0;0;39;0;0;0
ДВФО;Республика Бурятия;4;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;5;155;155;0;0;0;0;0;155;0;0;0
ДВФО;Республика Бурятия;6;155;0;0;0;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;7;155;0;0;0;0;0;0;0;0;0;0
ДВФО;Республика Саха (Якутия);3;21206;10700;1200;10456;0;0;0;2400;0;0;18806
ДВФО;Республика Саха (Якутия);4;435;15;15;0;0;0;0;15;0;0;420
ДВФО;Республика Саха (Якутия);5;74841;16319;16319;11089;589;0;0;52007;0;0;22834
ДВФО;Республика Саха (Якутия);6;20280;0;0;0;0;0;0;0;0;0;0
ДВФО;Республика Саха (Якутия);7;17568;0;0;0;0;0;0;0;0;0;0
ДВФО;Сахалинская область;3;1259;1048;1028;177;117;29;5;1257;0;0;2
ДВФО;Сахалинская область;4;706;698;681;5;0;0;3;706;0;0;0
ДВФО;Сахалинская область;5;26977;4280;231;55;0;4629;1235;26687;0;0;290
ДВФО;Сахалинская область;6;14734;0;0;0;0;0;0;0;0;0;0
ДВФО;Сахалинская область;7;11196;0;0;0;0;0;0;0;0;0;0
ДВФО;Хабаровский край;3;70051;21247;15065;4101;2637;0;28571;30449;20;4;39578
ДВФО;Хабаровский край;4;49281;20571;14736;3842;3287;0;24868;11612;10;0;37659
ДВФО;Хабаровский край;5;91811;36483;29776;23158;12017;5276;20344;89979;476;12;1344
ДВФО;Хабаровский край;6;160230;0;0;0;0;0;0;0;0;0;0
ДВФО;Хабаровский край;7;26469;0;0;0;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;3;21;21;21;0;0;0;0;21;0;0;0
ДВФО;Чукотский автономный округ;4;98;0;0;98;0;0;0;98;0;0;0
ДВФО;Чукотский автономный округ;5;10191;5794;5696;4202;0;195;0;9797;0;0;394
ДВФО;Чукотский автономный округ;6;1096;0;0;0;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;7;603;0;0;0;0;0;0;0;0;0;0
ПФО;Кировская область;3;1427;608;484;362;333;35;88;1109;0;0;318
