FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
ДВФО;Амурская область;3;166;24;30;0;0;5;0;0;107;835;542;1541;0;838;703
ДВФО;Амурская область;4;16;0;10;0;0;0;0;0;6;;;;;;
ДВФО;Амурская область;5;63513;15482;13750;0;0;434;0;0;33847;;;;;;
ДВФО;Амурская область;6;1574;96;297;0;0;199;0;0;982;;;;;;
ДВФО;Амурская область;7;4294;0;3351;0;0;0;0;0;943;;;;;;
ДВФО;Амурская область;8;46936;12914;7672;0;0;116;0;0;26234;;;;;;
ДВФО;Амурская область;9;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Амурская область;10;16577;2568;6078;0;0;318;0;0;7613;;;;;;
ДВФО;Амурская область;11;1035;0;826;0;0;0;0;0;209;;;;;;
ДВФО;Амурская область;12;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Амурская область;13;3259;0;2525;0;0;0;0;0;734;;;;;;
ДВФО;Еврейская автономная область;3;10;2;7;0;0;0;0;0;1;49;49;1109;0;0;1109
ДВФО;Еврейская автономная область;4;1;0;0;0;0;0;0;0;1;;;;;;
ДВФО;Еврейская автономная область;5;3293,7;1511,1;1584,9;0;0;0;0;0;197,7;;;;;;
ДВФО;Еврейская автономная область;6;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Еврейская автономная область;7;318,3;0;0;0;0;0;0;0;318,3;;;;;;
ДВФО;Еврейская автономная область;8;3124,3;1423,7;1503,5;0;0;0;0;0;197,1;;;;;;
ДВФО;Еврейская автономная область;9;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Еврейская автономная область;10;169,4;87,4;81,4;0;0;0;0;0;0,6;;;;;;
ДВФО;Еврейская автономная область;11;148,4;0;0;0;0;0;0;0;148,4;;;;;;
ДВФО;Еврейская автономная область;12;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Еврейская автономная область;13;169,9;0;0;0;0;0;0;0;169,9;;;;;;
ДВФО;Забайкальский край;3;109,8;22,5;18,4;0;0;2;0;30,4;36,5;0;0;0;0;0;0
ДВФО;Забайкальский край;4;6,7;0;1,3;0;0;0;0;2,7;2,7;;;;;;
ДВФО;Забайкальский край;5;41610,7;13778,5;7086,7;0;0;886,4;0;10123,8;9735,3;;;;;;
ДВФО;Забайкальский край;6;9073;3574,7;1845,3;0;0;0;0;2217,9;1435,1;;;;;;
ДВФО;Забайкальский край;7;1651,8;0;360,4;0;0;0;0;535,8;755,6;;;;;;
ДВФО;Забайкальский край;8;31123,1;11023,7;5040,3;0;0;0;0;7509,5;7549,6;;;;;;
ДВФО;Забайкальский край;9;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Забайкальский край;10;10487,6;2754,8;2046,4;0;0;886,4;0;2614,3;2185,7;;;;;;
ДВФО;Забайкальский край;11;1598,6;0;360,4;0;0;0;0;519,4;718,8;;;;;;
ДВФО;Забайкальский край;12;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Забайкальский край;13;53,2;0;0;0;0;0;0;16,4;36,8;;;;;;
ДВФО;Камчатский край;3;143,6;24,9;39,4;0;6,5;8,8;15,5;21,8;26,7;347;287;5842;0;0;5842
ДВФО;Камчатский край;4;8,5;2,5;1;0;0;1;1,5;0;2,5;;;;;;
ДВФО;Камчатский край;5;130647,8;36138,1;36790,2;0;6043;9901,1;14625,8;15800,3;11349,3;;;;;;
ДВФО;Камчатский край;6;25,1;25,1;0;0;0;0;0;0;0;;;;;;
ДВФО;Камчатский край;7;1410,2;412,1;215;0;0;87,6;345,9;0;349,6;;;;;;
ДВФО;Камчатский край;8;90304,2;20938,6;31782,9;0;3895,7;8993,8;1128,5;15143,5;8421,2;;;;;;
ДВФО;Камчатский край;9;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Камчатский край;10;40343,6;15199,5;5007,3;0;2147,3;907,3;13497,3;656,8;2928,1;;;;;;
ДВФО;Камчатский край;11;51,5;0;0;0;0;0;0;0;51,5;;;;;;
ДВФО;Камчатский край;12;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Камчатский край;13;1358,7;412,1;215;0;0;87,6;345,9;0;298,1;;;;;;
ДВФО;Магаданская область;3;66;6;20;0;2;7;0;6;25;59;58;2442;0;0;2440
ДВФО;Магаданская область;4;9;1;4;1;3;0;0;0;0;;;;;;
ДВФО;Магаданская область;5;37006,1;5166,9;16710,7;0;659,2;4313,2;0;4274,1;5882;;;;;;
ДВФО;Магаданская область;6;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Магаданская область;7;2032,6;200;1147,4;181,9;503,3;0;0;0;0;;;;;;
ДВФО;Магаданская область;8;35295,5;4866,9;16153,2;0;659,2;3672,7;0;4153,4;5790,1;;;;;;
ДВФО;Магаданская область;9;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Магаданская область;10;1710,6;300;557,5;0;0;640,5;0;120,7;91,9;;;;;;
ДВФО;Магаданская область;11;1610,4;0;936,7;181,9;491,8;0;0;0;0;;;;;;
ДВФО;Магаданская область;12;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Магаданская область;13;422,2;200;210,7;0;11,5;0;0;0;0;;;;;;
ДВФО;Приморский край;3;320,7;36,5;95,6;0;3,7;90;4;48,4;42,5;130;93;833,8;0;647;186,8
ДВФО;Приморский край;4;16,3;1;10,6;0;0;4;0;0,7;0;;;;;;
ДВФО;Приморский край;5;141649,2;28304;38546,6;0;1487,6;26902,5;161,4;23186,9;23060,2;;;;;;
ДВФО;Приморский край;6;650,3;54,5;87,5;0;0;508,3;0;0;0;;;;;;
ДВФО;Приморский край;7;3240,3;50,2;2102,7;0;0;845,2;0;242,2;0;;;;;;
ДВФО;Приморский край;8;105124,5;20828,7;27948,7;0;1129,3;15094;0;18495,7;21628,1;;;;;;
ДВФО;Приморский край;9;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Приморский край;10;36524,7;7475,3;10597,9;0;358,3;11808,5;161,4;4691,2;1432,1;;;;;;
ДВФО;Приморский край;11;2301,4;0;1345,7;0;0;713,5;0;242,2;0;;;;;;
ДВФО;Приморский край;12;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Приморский край;13;938,9;50,2;757;0;0;131,7;0;0;0;;;;;;
ДВФО;Республика Бурятия;3;3;1;0;0;0;0;0;2;0;15;17,5;51,5;51,5;40,5;11
ДВФО;Республика Бурятия;4;15;1;11;0;0;1;0;2;0;;;;;;
ДВФО;Республика Бурятия;5;2231,2;931,3;0;0;0;0;0;1299,9;0;;;;;;
ДВФО;Республика Бурятия;6;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Республика Бурятия;7;1542;450;511,8;0;0;189;0;391,2;0;;;;;;
ДВФО;Республика Бурятия;8;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Республика Бурятия;9;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Республика Бурятия;10;2231,2;931,3;0;0;0;0;0;1299,9;0;;;;;;
ДВФО;Республика Бурятия;11;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Республика Бурятия;12;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Республика Бурятия;13;1542;450;511,8;0;0;189;0;391,2;0;;;;;;
ДВФО;Республика Саха (Якутия);3;198,9;43,8;73,2;0;0;13;0;20,7;48,2;12335;10416;1233,5;0;0;12335
ДВФО;Республика Саха (Якутия);4;13,7;0,5;12,9;0;0,3;0;0;0;0;;;;;;
ДВФО;Республика Саха (Якутия);5;164014,4;57460,3;49142,2;0;0;6611,9;0;17096,2;33703,8;;;;;;
ДВФО;Республика Саха (Якутия);6;3276,8;1032,4;20;0;0;120;0;1033,6;1070,8;;;;;;
ДВФО;Республика Саха (Якутия);7;4208,9;849,5;3216,8;0;142,6;0;0;0;0;;;;;;
ДВФО;Республика Саха (Якутия);8;106699,6;33262,3;38346,5;0;0;4967;0;7415,5;22708,3;;;;;;
ДВФО;Республика Саха (Якутия);9;136,8;0;20,2;0;0;116,6;0;0;0;;;;;;
ДВФО;Республика Саха (Якутия);10;57178;24198;10775,5;0;0;1528,3;0;9680,7;10995,5;;;;;;
ДВФО;Республика Саха (Якутия);11;2812,8;0;2812,8;0;0;0;0;0;0;;;;;;
ДВФО;Республика Саха (Якутия);12;76;0;76;0;0;0;0;0;0;;;;;;
ДВФО;Республика Саха (Якутия);13;1320,1;849,5;328;0;142,6;0;0;0;0;;;;;;
ДВФО;Сахалинская область;3;204;41,2;63,4;0;1;76,3;8;9;5,1;440;158;3786;0;836;2950
ДВФО;Сахалинская область;4;17,4;1,5;14,2;0;0;1,7;0;0;0;;;;;;
ДВФО;Сахалинская область;5;125432,3;34111,4;44326;0;301,6;35231,2;2874,5;7173,1;1414,5;;;;;;
ДВФО;Сахалинская область;6;2217,7;29,3;1980,3;0;0;208,1;0;0;0;;;;;;
ДВФО;Сахалинская область;7;4083;760,5;2459,5;0;0;863;0;0;0;;;;;;
ДВФО;Сахалинская область;8;73887,5;18130,8;26430,7;0;0;28975,6;0;0;350,4;;;;;;
ДВФО;Сахалинская область;9;80,7;48,7;32;0;0;0;0;0;0;;;;;;
ДВФО;Сахалинская область;10;51464,1;15931,9;17863,3;0;301,6;6255,6;2874,5;7173,1;1064,1;;;;;;
ДВФО;Сахалинская область;11;2374,2;66,1;1888,4;0;0;419,7;0;0;0;;;;;;
ДВФО;Сахалинская область;12;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Сахалинская область;13;1708,8;694,4;571,1;0;0;443,3;0;0;0;;;;;;
ДВФО;Хабаровский край;3;743,9;138,5;188,3;1;13;143,8;9,5;96,6;153,2;342;312,6;12266,5;4355;182;7730,5
ДВФО;Хабаровский край;4;115,2;9;66,8;1;2;3;4;19;10,4;;;;;;
ДВФО;Хабаровский край;5;364417,4;99925,3;97103,5;156;6226,7;56413,7;3623;39067,1;61902,1;;;;;;
ДВФО;Хабаровский край;6;13710,7;3341,4;7029;0;0;1838,4;0;728,2;773,7;;;;;;
ДВФО;Хабаровский край;7;32025,6;4037,1;20637,2;865,8;855,8;1062,8;830;2129,8;1607,1;;;;;;
ДВФО;Хабаровский край;8;241958,2;72974,8;52547,1;0;5233,6;41502,1;2575;27494,6;39631;;;;;;
ДВФО;Хабаровский край;9;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Хабаровский край;10;122459,2;26950,5;44556,4;156;993,1;14911,6;1048;11572,5;22271,1;;;;;;
ДВФО;Хабаровский край;11;18959,1;0;14501,3;865,8;421,8;972,8;0;1543,8;653,6;;;;;;
ДВФО;Хабаровский край;12;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Хабаровский край;13;13066,5;4037,1;6135,9;0;434;90;830;586;953,5;;;;;;
ДВФО;Чукотский автономный округ;3;46,8;15;19,8;0;0;0;0;0;12;200;48;68;0;0;68
ДВФО;Чукотский автономный округ;4;1;0;0,5;0;0;0;0;0;0,5;;;;;;
ДВФО;Чукотский автономный округ;5;50874,2;21246,2;20365,1;0;0;0;0;0;9262,9;;;;;;
ДВФО;Чукотский автономный округ;6;5537,4;2635,9;2435,6;0;0;0;0;0;465,9;;;;;;
ДВФО;Чукотский автономный округ;7;624,3;0;350,9;0;0;0;0;0;273,4;;;;;;
ДВФО;Чукотский автономный округ;8;49498,7;20658;19872,8;0;0;0;0;0;8967,9;;;;;;
ДВФО;Чукотский автономный округ;9;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Чукотский автономный округ;10;1375,5;588,2;492,3;0;0;0;0;0;295;;;;;;
ДВФО;Чукотский автономный округ;11;624,3;0;350,9;0;0;0;0;0;273,4;;;;;;
ДВФО;Чукотский автономный округ;12;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Чукотский автономный округ;13;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Кировская область;3;1399,3;1133,2;64,1;1;13,3;67,2;0;58,6;61,9;1035;1030;2006,3;0;1527;473,3
ПФО;Кировская область;4;31,6;1,6;20,7;5;0,5;0,8;0;0,1;2,9;;;;;;
ПФО;Кировская область;5;123142,6;33962,5;27850,1;753,5;5506,3;24402,4;0;19760;10907,8;;;;;;
ПФО;Кировская область;6;1406,5;317;613,1;0;0;59,8;0;66,6;350;;;;;;
ПФО;Кировская область;7;3238;1049,3;981,8;370;132,3;145,7;0;18,1;540,8;;;;;;
ПФО;Кировская область;8;78302,7;18615,5;23744,4;753,5;2244,7;17357,3;0;8468,2;7119,1;;;;;;
ПФО;Кировская область;9;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Кировская область;10;44839,9;15347;4105,7;0;3261,6;7045,1;0;11291,8;3788,7;;;;;;
ПФО;Кировская область;11;879,7;16,4;408,7;0;132,3;10,1;0;0;312,2;;;;;;
ПФО;Кировская область;12;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Кировская область;13;2358,3;1032,9;573,1;370;0;135,6;0;18,1;228,6;;;;;;
ПФО;Нижегородская область;3;868,6;115,5;234;5;19,5;173;20,5;111,6;189,5;2661;627,2;3107,5;14,5;766,3;2326,7
